model,price,pro,url,region,tel,year,km,argus,more_expansive_than_argus
,15900,False,//www.leboncoin.fr/voitures/1321487407.htm?ca=12_s,ile_de_france,,2017,20000,,False
intens,10990,True,//www.leboncoin.fr/voitures/1317781865.htm?ca=12_s,ile_de_france,0164597186,2015,15254,11744.0,False
life,7900,True,//www.leboncoin.fr/voitures/1321415628.htm?ca=12_s,ile_de_france,0134301285,2014,28537,11248.0,False
life,8990,True,//www.leboncoin.fr/voitures/1317567777.htm?ca=12_s,ile_de_france,0164597186,2013,8751,9015.0,False
life,9700,False,//www.leboncoin.fr/voitures/1321142626.htm?ca=12_s,ile_de_france,,2014,29000,11201.0,False
intens,16800,False,//www.leboncoin.fr/voitures/1320868333.htm?ca=12_s,ile_de_france,,2017,4000,15407.0,True
life,13990,True,//www.leboncoin.fr/voitures/1321153817.htm?ca=12_s,ile_de_france,0160657097,2017,240,14070.0,False
life,10690,True,//www.leboncoin.fr/voitures/1174505539.htm?ca=12_s,ile_de_france,0178455073,2015,7248,9831.0,True
life,10300,True,//www.leboncoin.fr/voitures/1320775407.htm?ca=12_s,ile_de_france,0175448151,2015,11480,9781.0,True
,8900,False,//www.leboncoin.fr/voitures/1320263745.htm?ca=12_s,ile_de_france,,2016,5700,,False
intens,10790,True,//www.leboncoin.fr/voitures/1164673130.htm?ca=12_s,ile_de_france,0805805802,2014,34121,8574.0,True
intens,10980,True,//www.leboncoin.fr/voitures/1180066051.htm?ca=12_s,ile_de_france,0805805802,2015,9474,11899.0,False
life,10290,True,//www.leboncoin.fr/voitures/1179117509.htm?ca=12_s,ile_de_france,0805805802,2014,10207,11954.0,False
life,10480,True,//www.leboncoin.fr/voitures/1170785025.htm?ca=12_s,ile_de_france,0805805802,2016,9087,11401.0,False
life,10890,True,//www.leboncoin.fr/voitures/1308004507.htm?ca=12_s,ile_de_france,0805805802,2016,2000,11503.0,False
zen,9490,True,//www.leboncoin.fr/voitures/1309357022.htm?ca=12_s,ile_de_france,0603071849,2013,17900,9709.0,False
zen,10100,True,//www.leboncoin.fr/voitures/1320776484.htm?ca=12_s,ile_de_france,0170176498,2014,24147,10224.0,False
life,7800,False,//www.leboncoin.fr/voitures/1320322876.htm?ca=12_s,ile_de_france,,2013,27500,8708.0,False
intens,10880,True,//www.leboncoin.fr/voitures/1320744395.htm?ca=12_s,ile_de_france,0175834054,2015,21120,11402.0,False
intens,10300,False,//www.leboncoin.fr/voitures/1158191032.htm?ca=12_s,ile_de_france,,2013,24000,9175.0,True
intens,8900,False,//www.leboncoin.fr/voitures/1319311125.htm?ca=12_s,ile_de_france,,2013,39500,8482.0,True
life,10890,True,//www.leboncoin.fr/voitures/1318776746.htm?ca=12_s,ile_de_france,0185500387,2015,7079,9832.0,True
zen,9200,True,//www.leboncoin.fr/voitures/1136394640.htm?ca=12_s,ile_de_france,0175448151,2013,23660,9588.0,False
,9100,False,//www.leboncoin.fr/voitures/1318756823.htm?ca=12_s,ile_de_france,,2013,19900,,False
intens,8990,False,//www.leboncoin.fr/voitures/1318148431.htm?ca=12_s,ile_de_france,,2014,49000,8211.0,True
